proposal_id,Score_Maximize Health Impact,Score_Maximize Value for Money,Score_Reinforce Financial Sustainability,Score_Support Countries with the Greatest Needs,Score_equity,Score_final
P0000,0.3697125852084522,0.6574263391392128,0.16770056716816917,0.36873629217292736,0.32463060716823916,13.159786699465895
P0001,0.7651817777137206,0.32273720537904826,0.8013876482990694,0.8308218325454302,0.2501689134746633,16.294649156721984
P0002,0.572177267569266,0.5341995381357815,0.599626373884393,0.6331874120652903,0.16696117186026993,9.63028277642156
P0003,0.20925398230351,0.4569917956035495,0.3257378484671316,0.39205733091043693,0.6516110355269596,22.162385707181585
P0004,0.4462548345915852,0.4099929852040277,0.34798375614234267,0.42231670294738644,0.6138467365104965,24.996931169610868
P0005,0.42622498706221223,0.40624296083037037,0.19048476920219615,0.25524236844877013,0.6361634078701792,21.352693222475423
P0006,0.4390684178893607,0.29768669862337005,0.7624575058154417,0.7307056140085904,0.6053533311192432,31.553845857174494
P0007,0.432058502309989,0.5209192354127281,0.39513681089982344,0.5236297824552802,0.5089287669912154,23.57469969315387
P0008,0.36442802696813437,0.20637414840505253,0.3471480222169089,0.6546768302671315,0.6902715140422788,24.589485729268883
P0009,0.3087942794574038,0.47976903794395376,0.2541424918309706,0.30944727914657777,0.5878063102196824,20.368764779558543
P0010,0.6451931440095305,0.6484521007548516,0.23847890412956463,0.5065280684220479,0.6331389926565613,33.157014806908116
P0011,0.24676494162673956,0.07924884472163274,0.30544887959148515,0.14869628499185905,0.8281467269798042,16.270664876725313
P0012,0.4601988480954202,0.6910581665396658,0.46677894484657045,0.5862810595613659,0.1510849878839129,8.309885845593543
P0013,0.29833236579793354,0.4922389610086222,0.10808839084862032,0.17712838976972367,0.5706768358562718,16.593156856288495
P0014,0.42009577760057615,0.6497275161345357,0.38533726011729663,0.5918641469295434,0.4816778651120697,24.375834606181566
P0015,0.8610777395454403,1.0,0.5102730409740941,0.4617158901892896,0.31995562549948875,24.161415964521403
P0016,0.37671419897126013,0.31164106696019167,0.44934438793687104,0.611036504001826,0.3334946889544368,13.68989536389789
P0017,0.9870218780511409,0.7437042838007795,0.5682761441064538,0.8732055856228782,0.3130123790078775,24.798960460759645
P0018,0.7415750981426524,0.6636077648583458,0.32462303394369774,0.43988259354569015,0.3708620336744252,21.090664489663112
P0019,0.47167897321153773,0.5939326004838754,0.33099275566673336,0.4893737250586645,0.38165296224584094,18.16048753039108
P0020,0.5246113313968217,0.5875511340555264,0.47439470584499444,0.669320994647307,0.6686951859037997,36.95514290232146
P0021,0.04639718899951428,0.384650298493983,0.3603323484618851,0.24846226592044007,0.5592498392456683,14.354079575567022
P0022,0.29951096234648666,0.30939287989242115,0.3984007418579574,0.4068355965748247,0.7288316232201135,25.020547479759514
P0023,0.73134291472926,0.6546321766232974,0.6453380752877131,0.9202412206548242,0.3264657505981249,23.34763004620651
P0024,0.4571852287368754,0.2546390608141903,0.6805642022424285,0.7919487536522303,0.48606274892438134,24.423712625058766
P0025,0.005310479649796251,0.2953687293037174,0.08715337504533982,0.28124149772859863,0.7652638094581792,11.798709699860153
P0026,0.5554881911027658,0.6042418831284058,0.6904047422157649,0.515119816633123,0.5137149616881597,30.709273214983018
P0027,0.5826569075110726,0.5669907667713601,0.6398726369066945,0.6774557429918977,0.6077706430948391,36.860123979520075
P0028,0.29983099344791686,0.6029888399444208,0.15155658660659166,0.3089835007278334,0.560726598531509,19.910427070752217
P0029,0.5035079981227213,0.471368467538801,0.3981856757305411,0.5818580533331908,0.33459700719164615,16.03683526774265
P0030,0.3275857340712389,0.2791636373567352,0.3687904609229068,0.496603923225714,0.40570242875733475,14.14737171827986
P0031,0.5414705460078557,0.7613347914182261,0.5031487807637474,0.5704239254855352,0.40979273461222954,24.67740643108131
P0032,0.5211762084711372,0.5705818901578876,0.30639192650850355,0.5548921727762509,0.21324128466912043,10.392510982144795
