proposal_id,Score_Maximize Health Impact,Score_Maximize Value for Money,Score_Reinforce Financial Sustainability,Score_Support Countries with the Greatest Needs,Score_equity,Score_final
P0032,0.47802126,0.46393043,0.4555714,0.47089118,0.21324128466912043,9.960757668890654
P0033,0.48745906,0.29417992,0.5530716,0.6581142,0.3004794818985609,14.166908466475627
P0034,0.7783095,0.66256,0.5292876,0.7116088,0.6366248159296467,42.738156521022304
P0035,0.39681107,0.463171,0.45621008,0.29827768,0.6095002134200861,25.40328544140933
P0036,0.5750092,0.57121444,0.51691854,0.4731562,0.5769267163232208,31.38886248376478
P0037,0.37053263,0.5132679,0.31776512,0.14952147,0.6173770260846276,22.658333832633488
P0038,0.49876827,0.28899288,0.41826063,0.5586592,0.44589149757516866,18.93667268333851
P0039,0.71384794,0.6495221,0.55412585,0.6805583,0.236555880652152,15.367291085465862
P0040,0.48395586,0.44414854,0.6644058,0.61773276,0.4436311121541519,23.83153959595135
P0041,0.6154419,0.63550425,0.512895,0.33178526,0.548562387893335,30.35060780758404
P0042,0.24450678,0.3070959,0.2812571,0.16124344,0.6952500142111551,18.075221278433528
P0043,0.5874666,0.5693262,0.57173836,0.48256302,0.5272568997786906,29.65065499940332
P0044,0.54378873,0.54383385,0.5838406,0.6026771,0.5419253176323833,30.49134859232178
P0045,0.44912457,0.4070359,0.6439565,0.56924117,0.35587181605238793,17.908303206704275
P0046,0.2979489,0.07622582,0.39958256,0.30991817,0.5283168216032761,13.664163807973189
P0047,0.4991507,0.48335415,0.5316142,0.2409895,0.6066375784562134,28.136059592291566
P0048,0.4886937,0.44747853,0.60186136,0.58180207,0.5043843688564467,26.15673235894108
P0049,0.71605134,0.7768266,0.54787827,0.5416031,0.43179695717278044,28.760848529564754
P0050,0.28231603,0.4806158,0.35026497,0.10176432,0.6278736773983976,20.827224625944023
P0051,0.52066743,0.37129432,0.57752514,0.46242946,0.34332012019741376,16.52517288725391
P0052,0.65349054,0.5931257,0.6525097,0.5488257,0.4513644304615656,27.959144271795754
P0053,0.85328066,0.77481765,0.846591,0.66024125,0.6227295107786209,49.7631566408747
P0054,0.47538072,0.44899344,0.59212303,0.5217515,0.5944961128899174,29.93916449791448
P0055,0.5846442,0.5309215,0.5930511,0.60687935,0.6329126035185507,36.32692757537585
P0056,0.5113898,0.5789837,0.63393354,0.37620938,0.5434063845034932,29.45408657534233
P0057,0.4964111,0.45496815,0.7024563,0.43939984,0.666809946534753,35.136739449726406
P0058,0.57223177,0.63862646,0.5191053,0.4575348,0.42261132577728877,23.736556144886404
P0059,0.83861464,0.62819594,1.0,0.90565455,0.3313691532683847,27.36749258049103
P0060,0.81078637,0.74890053,0.66820216,0.6265184,0.4345938031020294,31.679035034802165
P0061,0.6793214,0.606042,0.57687676,0.6933656,0.27204480279991783,17.24309872933267
P0062,0.2612285,0.30286103,0.43570334,0.15056998,0.5993654369984529,18.02520919232097
P0063,0.45068878,0.3686415,0.48863792,0.4517172,0.34770508691027546,15.150072256583883
P0064,0.6240922,0.57495517,0.5140106,0.5991807,0.533042875559681,30.81488910806917
P0065,0.63263285,0.58602077,0.6248548,0.5694053,0.6254035850761455,37.9757971266678
P0066,0.16478527,0.18241662,0.11353153,0.23075545,0.5285306342656959,8.834746623042667
P0067,0.39070708,0.33804214,0.42717522,0.2785278,0.4751825803278255,17.44859752854149
P0068,0.47848403,0.35032892,0.42170697,0.5017761,0.3527912636288405,15.146636197657944
P0069,0.6742507,0.61933494,0.64348924,0.61237085,0.40405778700186296,25.892172279321567
P0070,0.6077144,0.6126,0.5489963,0.53028667,0.5933461704007491,34.58534473024041
P0071,0.38183725,0.22377068,0.29573536,0.52229786,0.34907484110044457,11.657734487928618
P0072,0.78858674,0.66388583,0.7729848,0.7728589,0.7455737886145442,55.53904383064977
P0073,0.48324573,0.5596427,0.5834404,0.4423983,0.6288861989881931,33.021959205580345
P0074,0.5890256,0.5408852,0.61197406,0.5604993,0.6834742900572659,39.370969089546676
P0075,0.48434865,0.2865526,0.5534241,0.60399985,0.43560901801760077,20.04787644134233
P0076,0.69062304,0.61796725,0.77473503,0.65390563,0.38368733776478686,26.257515417381715
P0077,0.63267934,0.5385499,0.5541687,0.450086,0.6711430537987553,37.41111315481088
P0078,0.6974466,0.6288915,0.71657884,0.73010516,0.19495012012793533,13.384533308776591
P0079,0.7211083,0.6829237,0.58148885,0.70595956,0.513179863963541,34.51010471677582
P0080,0.8766177,0.8088814,0.78974277,0.80563945,0.3143784714966852,25.902627415656266
P0081,0.6064608,0.51196074,0.4655984,0.40523094,0.6509535203222397,33.375082888674854
P0082,0.47317338,0.47215712,0.54814744,0.29305303,0.7062504824581106,32.811972021698075
P0083,0.64209145,0.54934895,0.7856537,0.6244284,0.7791403919928964,50.450104976060004
